location,San Francisco,San Francisco,San Francisco,San Francisco
lat,37.99986,37.99986,37.99986,37.99986
lon,-122.34375,-122.34375,-122.34375,-122.34375
asl,60.343,60.343,60.343,60.343
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,San Francisco Temperature [2 m elevation corrected],San Francisco Relative Humidity [2 m],San Francisco Wind Speed [10 m],San Francisco Wind Direction [10 m]
20210313T1300,12.538226,76.0,9.290511,234.46233
20210313T1400,13.008226,74.0,9.726664,231.009
20210313T1500,13.588226,70.0,11.019764,231.63252
20210313T1600,13.298226,72.0,13.551501,230.38931
20210313T1700,12.518226,73.0,14.84318,230.90614
20210313T1800,11.378226,74.0,14.021525,228.12213
20210313T1900,9.808227,78.0,10.948973,223.66779
20210313T2000,8.128226,85.0,9.178235,221.82018
20210313T2100,7.068227,92.0,8.4963045,216.38435
20210313T2200,8.218226,86.0,8.714677,218.29016
20210313T2300,7.9082265,87.0,8.161764,221.42366
20210314T0000,7.6682267,89.0,8.14587,225.0
20210314T0100,7.4682264,91.0,7.8954163,223.15239
20210314T0200,7.2782264,93.0,6.8777895,222.8789
20210314T0300,7.1682267,93.0,6.1305785,220.23636
20210314T0400,6.9782267,94.0,5.8603754,222.51045
20210314T0500,6.9382267,95.0,5.3999996,216.8699
20210314T0600,7.298227,90.0,5.0142193,201.0375
20210314T0700,7.6382265,86.0,5.2416787,164.0546
20210314T0800,8.548226,80.0,5.495161,148.3925
20210314T0900,10.178226,72.0,8.049845,153.43495
20210314T1000,10.788226,69.0,9.793058,162.89728
20210314T1100,11.368226,67.0,10.105681,175.91438
20210314T1200,12.018226,66.0,10.594036,189.78241
20210314T1300,12.598227,66.0,11.298495,202.47943
20210314T1400,12.968226,66.0,13.0447235,207.97948
20210314T1500,12.478226,68.0,14.386494,211.70143
20210314T1600,11.448226,74.0,15.1884165,211.42957
20210314T1700,10.818226,78.0,13.849477,207.89728
20210314T1800,10.378226,84.0,11.874544,194.03624
20210314T1900,9.838226,91.0,11.631956,201.8014
20210314T2000,9.568226,94.0,11.592895,205.76933
20210314T2100,9.198226,95.0,13.104198,217.18471
20210314T2200,8.338226,94.0,14.565548,230.01312
20210314T2300,7.0082264,91.0,16.489416,233.88066
20210315T0000,6.088227,85.0,17.414474,240.25513
20210315T0100,5.4782267,83.0,17.873556,242.40271
20210315T0200,4.4482265,85.0,16.79314,239.03624
20210315T0300,4.8982267,85.0,15.778516,235.22217
20210315T0400,4.1582265,87.0,14.84318,230.90614
20210315T0500,3.9382267,88.0,14.336861,231.11551
20210315T0600,4.1582265,85.0,10.182337,225.0
20210315T0700,4.2682266,82.0,10.703569,227.72632
20210315T0800,5.5782266,76.0,11.113451,245.09525
20210315T0900,7.5982265,68.0,15.119999,270.0
20210315T1000,9.128226,61.0,17.31746,290.69547
20210315T1100,9.598227,57.0,13.608762,307.4762
20210315T1200,10.088226,55.0,10.144082,332.52557
20210315T1300,10.278226,54.0,10.086427,357.9546
20210315T1400,10.158226,56.0,12.371645,8.365875
20210315T1500,9.978226,60.0,13.009903,14.420761
20210315T1600,9.998226,62.0,13.009903,14.420761
20210315T1700,9.918226,61.0,11.252519,7.352371
20210315T1800,10.298226,58.0,9.449572,342.25534
20210315T1900,9.818226,58.0,4.39436,304.99203
20210315T2000,8.658226,62.0,3.671294,258.69006
20210315T2100,7.7882266,67.0,4.829907,243.43495
20210315T2200,6.8782268,72.0,4.829907,243.43495
20210315T2300,6.1482267,77.0,4.896529,252.89728
20210316T0000,5.4782267,81.0,4.73506,261.25385
20210316T0100,4.9182267,84.0,4.73506,261.25385
20210316T0200,4.5182266,87.0,4.32,270.0
20210316T0300,4.2182264,89.0,3.96,270.0
20210316T0400,3.7782264,91.0,4.32,270.0
20210316T0500,3.5082264,93.0,4.32,270.0
20210316T0600,3.4482265,93.0,3.6,270.0
20210316T0700,3.2382264,94.0,2.5455842,278.1301
20210316T0800,3.9482265,91.0,0.35999998,360.0
20210316T0900,7.2482266,79.0,0.35999998,89.99999
20210316T1000,9.6382265,69.0,0.8049845,153.43495
20210316T1100,11.408226,63.0,0.5091169,135.0
20210316T1200,12.698226,58.0,1.835647,191.30994
20210316T1300,13.608226,54.0,3.8939953,213.69006
20210316T1400,14.1382265,52.0,5.8603754,222.51045
20210316T1500,14.218226,53.0,7.145796,229.08562
20210316T1600,13.958226,53.0,8.404285,226.73572
20210316T1700,13.268226,56.0,9.686609,228.01279
20210316T1800,12.008226,61.0,9.726664,231.009
20210316T1900,9.8882265,71.0,6.8777895,227.1211
20210316T2000,8.288226,76.0,5.6002855,225.0
20210316T2100,7.3482265,79.0,5.3517847,227.72632
20210316T2200,6.4482265,84.0,4.8965297,233.97263
20210316T2300,5.9082265,87.0,4.6938257,237.52881
